model_name,sku,MAE,RMSE,MAPE,n
HistGBR_tuned,25,1125.0855497580526,1679.7754895097312,45.028468585772686,13.0
HistGBR_tuned,27,270.19218145209277,836.3655693900163,61.69920730070007,13.0
HistGBR_tuned,30,240.21535963489063,536.7446011941813,687.5365919840565,13.0
HistGBR_tuned,15,210.8586481821106,620.6472087446712,29.868713830055928,13.0
HistGBR_tuned,7,85.14322410890568,185.29369728547954,45.699161109969175,13.0
HistGBR_tuned,19,54.46871179659521,117.09602550104515,71.12379118985798,13.0
HistGBR_tuned,24,54.45290732505478,175.41009374150724,33.27147325426357,13.0
HistGBR_tuned,34,49.529786356124674,77.01710986635972,34.45462811142453,13.0
HistGBR_tuned,11,47.13932695863575,62.33502210689667,47.757623893806894,13.0
HistGBR_tuned,22,40.57197635578761,77.56911937028018,35.464551732156266,13.0
HistGBR_tuned,32,38.18686027347841,51.40771452998416,96.69791882670906,13.0
HistGBR_tuned,20,37.59562017256982,50.270133752524856,41.352676906509544,13.0
HistGBR_tuned,33,34.92489328559973,53.578591892596265,137.4487038340271,13.0
HistGBR_tuned,16,30.335556540438233,79.10496237934576,20.39785374192065,13.0
HistGBR_tuned,40,19.64070719161648,23.50354560193877,31.880586081952465,13.0
HistGBR_tuned,14,16.77925906607463,21.63766417640844,25.628546458886444,13.0
HistGBR_tuned,31,15.479374543155197,20.818498882735316,20.09594785744991,13.0
HistGBR_tuned,36,15.427116375653465,20.38909329498831,30.06657994981854,13.0
HistGBR_tuned,17,13.70082180341325,19.44899444791543,70.21202422941968,13.0
HistGBR_tuned,29,13.277348468910917,15.586995917280976,145.01646752413,13.0
HistGBR_tuned,12,12.771649032251277,16.871572132881045,49.24333432363082,13.0
HistGBR_tuned,9,12.658897923791049,16.05273337995597,47.698185793017785,13.0
HistGBR_tuned,41,12.488715169015144,19.88179430049573,36.95393237366167,13.0
HistGBR_tuned,35,12.146239017590311,19.513294270707735,39.620944325404814,13.0
HistGBR_tuned,10,11.20864111654667,15.884051010642473,35.61618197421816,13.0
HistGBR_tuned,28,10.428127921542078,12.14035179189881,18.42932392934674,13.0
HistGBR_tuned,26,9.624365357324765,12.978558343892308,23.066318122020927,13.0
HistGBR_tuned,23,8.431812757264558,9.90955514713648,20.849072778754667,13.0
HistGBR_tuned,43,7.633351045117605,9.184553714690793,124.3913421009404,13.0
HistGBR_tuned,37,7.520796566888505,8.46775049689505,36.930301715262694,13.0
HistGBR_tuned,44,7.3086083492654685,9.749605955450678,56.33217186443413,13.0
HistGBR_tuned,39,6.39268434667869,8.407863268383482,31.958190053812345,13.0
HistGBR_tuned,8,5.492060145428085,7.123330154820705,24.115885173357132,13.0
HistGBR_tuned,21,4.913719144763139,5.744530496333982,40.586665677463465,13.0
HistGBR_tuned,18,4.7373083241673575,5.676490625907233,50.42016504648779,13.0
HistGBR_tuned,3,4.710808867960759,6.3309555419759445,26.92034244797189,13.0
HistGBR_tuned,6,4.62723440170572,5.63795267033874,37.66294857395892,13.0
HistGBR_tuned,5,4.606520401363209,6.502073740776415,52.36434037989734,13.0
HistGBR_tuned,13,4.587067752931868,5.392820658597252,22.640663638644863,13.0
HistGBR_tuned,42,4.395643541479706,5.3566113721001285,51.39576281461976,13.0
HistGBR_tuned,1,4.265747594060515,5.3418190500847285,23.778811974123997,13.0
HistGBR_tuned,38,3.7628006214928322,4.589335496364846,49.67190627010248,13.0
HistGBR_tuned,4,3.6390482773633583,3.8856949029741363,45.36951523600663,13.0
HistGBR_tuned,2,2.326157938774058,3.121619680549914,56.743776297555584,13.0
